GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP
2403320-010,1418,1058,108,351,561,37,54,1,950
2403320-021,2430,1781,235,803,621,88,107,2,1546
2403321-009,1489,1339,417,114,482,26,326,0,922
2403312-013,4760,3769,58,251,3431,64,31,4,3711
2403309-010,3230,2585,242,326,1885,55,124,6,2343
2403311-004,7736,5876,756,352,4594,166,168,9,5120
2403311-001,3882,3080,428,228,2341,94,82,8,2652
2403314-011,2139,1950,346,73,1492,12,59,6,1604
2403314-016,585,516,55,23,429,7,15,1,461
2403310-002,6844,5249,1157,1173,2564,109,345,9,4092
2403310-005,4883,3866,2049,506,904,88,391,4,1817
2403310-013,7488,6030,1184,853,3260,98,729,14,4846
2403309-008,7049,5678,301,317,4927,90,170,15,5377
2403321-003,4248,3550,1681,288,1284,65,273,4,1869
2403307-006,3090,2509,594,205,1641,38,71,5,1915
2403306-005,3116,2254,63,172,1999,56,16,6,2191
2403316-004,6815,5136,583,2938,1443,327,189,10,4553
2403321-002,6040,5696,3967,392,494,74,823,4,1729
2403321-095,0,0,0,0,0,0,0,0,0
2403321-094,0,0,0,0,0,0,0,0,0
2403702-004,1082,773,610,24,84,11,44,0,163
2403708-004,5338,4067,2265,307,1067,137,335,14,1802
2401502-001,2842,2300,2083,114,30,35,15,2,217
2401505-003,6052,4776,4305,100,160,92,75,5,471
2401501-001,4787,3823,3367,187,153,81,34,5,456
2401503-002,2309,1823,1630,64,52,51,29,6,193
2401503-007,4377,3236,2147,278,646,93,90,2,1089
2400113-000,2082,1695,1637,5,13,33,6,1,58
2402309-001,1161,947,908,4,4,18,6,2,39
2403314-003,3036,2384,1241,236,744,45,138,7,1143
2403313-010,7183,6052,210,223,5545,96,141,8,5842
2403315-002,6036,4677,283,563,3711,84,119,3,4394
2403313-025,477,375,1,59,290,9,19,0,374
2403313-016,4156,3339,73,228,3014,50,59,4,3266
2403313-007,8624,6618,144,258,6156,88,79,7,6474
2403312-011,5529,4461,224,613,3373,105,263,13,4237
2403321-004,4848,3887,1003,934,1091,101,846,10,2884
2403301-008,1100,900,247,196,310,35,138,0,653
2403320-019,2676,2027,207,527,1214,67,93,1,1820
2403320-008,1443,1169,19,196,938,14,23,1,1150
2403320-014,550,406,21,207,168,9,17,0,385
2403320-002,1904,1492,186,434,828,21,54,0,1306
2403320-097,20,15,0,2,13,0,2,2,15
2403320-015,351,267,8,18,227,6,15,0,259
2403320-012,3710,2749,61,418,2203,55,50,3,2688
2403320-011,4032,2908,77,891,1882,69,69,2,2831
2403320-013,1528,1145,28,151,925,9,56,0,1117
2403316-003,7182,5658,2172,1271,1966,166,232,9,3486
2403319-099,0,0,0,0,0,0,0,0,0
2403307-008,3173,2431,535,164,1571,64,151,2,1896
2403321-006,3153,2601,1651,195,379,55,312,4,950
2403301-002,2775,2262,686,616,731,52,221,5,1576
2403310-012,8079,6544,1053,887,3588,149,1007,15,5491
2403316-002,1237,955,359,221,336,23,41,2,596
2403306-026,2558,2067,60,81,1934,21,7,1,2007
2403306-024,1317,1096,54,63,976,13,15,1,1042
2403306-012,3462,2651,52,102,2473,48,19,5,2599
2403306-009,3455,2730,84,228,2382,40,33,4,2646
2403307-016,2282,1892,546,170,1057,40,118,7,1346
